pr_number,repository,title,author,created_date,merged_date,status,lines_added,lines_deleted,files_changed,commits_count,review_time_hours,requested_reviewers,sprint_number
1,phoenix-customer-platform,Feature: billing implementation,james.taylor,2024-01-10 00:00:00,2024-01-10 05:00:00,merged,123,17,3,3,5,3,1
2,phoenix-mobile-api,Feature: authentication implementation,mark.smith,2024-01-09 00:00:00,2024-01-09 05:00:00,merged,141,28,7,4,5,3,1
3,phoenix-shared-components,Feature: api implementation,james.taylor,2024-01-11 00:00:00,2024-01-11 05:00:00,merged,175,23,8,3,5,3,1
4,phoenix-customer-platform,Feature: billing implementation,mark.smith,2024-01-06 00:00:00,2024-01-06 06:00:00,merged,192,36,5,3,6,3,1
5,phoenix-mobile-api,Feature: dashboard implementation,tom.garcia,2024-01-07 00:00:00,2024-01-07 06:00:00,merged,86,25,7,2,6,3,1
6,phoenix-auth-service,Feature: api implementation,james.taylor,2024-01-03 00:00:00,2024-01-03 04:00:00,merged,136,25,5,3,4,3,1
7,phoenix-web-frontend,Feature: api implementation,mark.smith,2024-01-11 00:00:00,2024-01-11 05:00:00,merged,192,19,9,4,5,3,1
8,phoenix-auth-service,Feature: authentication implementation,mark.smith,2024-01-13 00:00:00,2024-01-13 05:00:00,merged,133,4,10,5,5,3,1
9,phoenix-mobile-api,Feature: api implementation,tom.garcia,2024-01-08 00:00:00,2024-01-08 05:00:00,merged,70,27,8,6,5,3,1
10,phoenix-customer-platform,Feature: billing implementation,james.taylor,2024-01-09 00:00:00,2024-01-09 05:00:00,merged,103,21,12,6,5,3,1
11,phoenix-customer-platform,Feature: api implementation,ana.lopez,2024-01-01 00:00:00,2024-01-01 05:00:00,merged,78,4,3,4,5,3,1
12,phoenix-mobile-api,Feature: api implementation,mark.smith,2024-01-04 00:00:00,2024-01-04 05:00:00,merged,121,10,3,3,5,3,1
13,phoenix-auth-service,Feature: billing implementation,mark.smith,2024-01-04 00:00:00,2024-01-04 04:00:00,merged,157,8,12,5,4,3,1
14,phoenix-shared-components,Feature: api implementation,james.taylor,2024-01-09 00:00:00,2024-01-09 06:00:00,merged,35,6,7,1,6,3,1
15,phoenix-auth-service,Feature: api implementation,mark.smith,2024-01-11 00:00:00,2024-01-11 05:00:00,merged,25,11,7,5,5,3,1
16,phoenix-shared-components,Feature: dashboard implementation,james.taylor,2024-01-04 00:00:00,2024-01-04 04:00:00,merged,88,22,4,2,4,3,1
17,phoenix-web-frontend,Feature: dashboard implementation,mark.smith,2024-01-07 00:00:00,2024-01-07 06:00:00,merged,70,4,12,6,6,3,1
18,phoenix-billing-service,Feature: dashboard implementation,mark.smith,2024-01-10 00:00:00,2024-01-10 05:00:00,merged,108,24,10,2,5,3,1
19,phoenix-web-frontend,Feature: authentication implementation,mark.smith,2024-01-03 00:00:00,2024-01-03 04:00:00,merged,58,6,12,1,4,3,1
